	GOV.UK	NHS UK	ONS UK	18F	shadcn	Flowbite	SkeletonUI	IBM Carbon
Web URL	?	?	?	?	?	?	?	?
Git URL	?	?	?	?	?	?	?	?
Git Updated Date	?	?	?	?	?	?	?	?
GitHub Issues #	?	?	?	?	?	?	?	?
GitHub Pull Requests #	?	?	?	?	?	?	?	?
Contact Person	?	?	?	?	?	?	?	?
Contact Email	?	?	?	?	?	?	?	?
Provenance	Original	Derived	Derived	Original	Original	Original	Original	Original
Licensing	?	?	?	?	?	?	?	? 
Implementation Technologies	?	?	?	?	JS, TS, Svelte, React, Vue, etc.	JS, TS, Svelte, React, Vue, etc.	JS, TS, Svelte, React, Vue, etc.
Capability 1	?	?	?	?	?	?	?	?
Capability 2	?	?	?	?	?	?	?	?
Capability 3	?	?	?	?	?	?	?	?
Accessibility Compliance Statement	?	?	?	?	?	?	?	?
Web Content Accessibility Guidelines (WCAG) 2.2	?	?	?	?	?	?	?	?
Desktop	?	?	?	?	✅	?	?	?
Phone/Tablet	?	?	?	?	✅	?	?	?
Watch	?	?	?	?	?	?	?	?
TV	?	?	?	?	?	?	?	?
VR/AR	?	?	?	?	?	?	?	?
